c,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, MEDICINAL PRODUCTS,MT,2533.217285,31441.38378,111250.1687,-16.54,10.86,11.63,Import,2025,Qtr 3,August,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, OTHERS,-,,124811.4997,441511.2806,-,-5.74,-5.1,Import,2025,Qtr 3,August,1
,METAL GROUP,, GOLD,KG,0,0,0,0,0,0,Import,2025,Qtr 3,August,1
,METAL GROUP,, IRON AND STEEL SCRAP,MT,312175.4627,43598.99416,154232.3114,0.09,-0.65,0.04,Import,2025,Qtr 3,August,1
,METAL GROUP,, IRON AND STEEL,MT,370482,64375.1682,227646.4465,-7.33,-6.7,-6.12,Import,2025,Qtr 3,August,1
,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,-,,4717.159719,16685.93457,-,-35.37,-34.93,Import,2025,Qtr 3,August,1
,METAL GROUP,, ALL OTHER METALS & ARTICALS,-,,28055.37067,99212.19068,-,-21.17,-20.65,Import,2025,Qtr 3,August,1
,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL+ SYNTH/RECLAIMED,MT,46697.47204,8364.077445,29585.98918,-8.51,-10.19,-9.59,Import,2025,Qtr 3,August,1
,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,960170,5450.433951,19275.43257,-20.17,-19.25,-18.73,Import,2025,Qtr 3,August,1
,MISCELLANEOUS GROUP,, WOOD & CORK,-,,2329.213703,8239.422784,-,-13.68,-13.1,Import,2025,Qtr 3,August,1
,MISCELLANEOUS GROUP,, JUTE,MT,2112.5191,508.037611,1796.858187,-3.9,-3.68,-2.94,Import,2025,Qtr 3,August,1
,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF+THEREOF,MT,44942.03154,10814.70636,38254.6207,-10.91,-16.57,-16.01,Import,2025,Qtr 3,August,1
,MISCELLANEOUS GROUP,, THE DATA SOURCE HAS BEEN SHIFTED FROM PRAL TO PSW,,,,,,,,Import,2025,Qtr 3,August,1
,MISCELLANEOUS GROUP,, SOME DIFFERENCE MAY OCCUR IN PERCENTAGE CHANGE WITH  RESPECT TO RUPEES & DOLLARS+,,,,,,,,Import,2025,Qtr 3,August,1
, FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,4628.46247,4018.167076,14249.50572,64.3,49.88,50.25,Import,2025,Qtr 3,September,1
, FOOD GROUP,, WHEAT UNMILLED,MT,0,0,0,0,0,0,Import,2025,Qtr 3,September,1
, FOOD GROUP,, DRY FRUITS & NUTS,MT,19026.98163,5128.915802,18190.543,89,91.23,91.76,Import,2025,Qtr 3,September,1
, FOOD GROUP,, TEA,MT,21660.34588,14479.43392,51353.72406,-4.52,-6.85,-6.6,Import,2025,Qtr 3,September,1
, FOOD GROUP,, SPICES,MT,14189.04738,5375.13817,19063.10696,15.44,17.05,17.38,Import,2025,Qtr 3,September,1
, FOOD GROUP,, SOYABEAN OIL,MT,13015.11892,3912.212413,13873.55128,31.61,27.02,27.36,Import,2025,Qtr 3,September,1
, FOOD GROUP,, PALM OIL,MT,343161.9924,101742.7944,360831.999,6.2,6.65,6.94,Import,2025,Qtr 3,September,1
, FOOD GROUP,, SUGAR,MT,30728.011,5189.527187,18409.01212,18523.04,9879.86,9959.57,Import,2025,Qtr 3,September,1
, FOOD GROUP,, PULSES  (LEGUMINOUS VEGETABLES),MT,96272.51,16042.75779,56897.41709,-10.82,-22.8,-22.58,Import,2025,Qtr 3,September,1
, FOOD GROUP,, ALL OTHERS FOOD ITEMS,-,-,64626.7235,229210.5766,-,7.08,7.38,Import,2025,Qtr 3,September,1
,MACHINERY GROUP,, POWER GENERATING MACHINERY,-,-,16716.40932,59275.81299,-,17.48,17.78,Import,2025,Qtr 3,September,1
,MACHINERY GROUP,, OFFICE MACHINE INCL+DATA PROC EQUIP;,-,-,16438.86083,58298.64126,-,32.76,33.12,Import,2025,Qtr 3,September,1
,MACHINERY GROUP,, TEXTILE MACHINERY,-,-,14409.16464,51099.25149,-,-2.05,-1.78,Import,2025,Qtr 3,September,1
,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,-,-,4835.293485,17159.04843,-,0.71,1.05,Import,2025,Qtr 3,September,1
,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,-,-,74284.59061,263434.5344,-,17.41,17.73,Import,2025,Qtr 3,September,1
,MACHINERY GROUP, TELE COM, MOBILE PHONE,-,-,56170.46045,199270.3751,-,28.06,28.45,Import,2025,Qtr 3,September,1
,MACHINERY GROUP, TELE COM, OTHER APPARATUS,-,-,19794.49086,70193.249,-,42.49,42.86,Import,2025,Qtr 3,September,1
,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,-,-,2783.794644,9872.320949,-,-34.33,-34.15,Import,2025,Qtr 3,September,1
,MACHINERY GROUP,, OTHER MACHINERY,-,-,50623.48874,179751.669,-,3.44,3.85,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,,1 CBU,-,-,38673.37528,137146.3044,-,168.49,169.2,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,"CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",-,-,29778.45189,105605.7905,-,323.53,324.68,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CBU-MOTOR CARS,-,-,8829.099377,31307.17127,-,20.8,21.1,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CBU-MOTOR CYCLES,-,-,65.824011,233.3425803,-,2.85,2.79,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,,2 CKD/SKD,-,-,60356.29735,214059.5573,-,-4.17,-3.91,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,"CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",-,-,15491.07309,54941.60978,-,20.84,21.17,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CKD/SKD-MOTOR CARS,-,-,43098.37912,152851.1601,-,-10.78,-10.54,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CKD/SKD-MOTOR CYCLES,-,-,1766.845148,6266.787403,-,-4.75,-4.47,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,,3G PARTS & ACCESSORIES,-,-,9898.160608,35101.2874,-,27.46,27.79,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,,4H OTHERS,-,-,721.71542,2559.515429,-,-2.47,-2.16,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",-,-,12297.50902,43626.5827,-,427.79,429.45,Import,2025,Qtr 3,September,1
,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,-,-,1508.273084,5348.83259,-,144.06,144.57,Import,2025,Qtr 3,September,1
,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,789099.2179,114413.9727,405850.3168,20.56,14.07,14.41,Import,2025,Qtr 3,September,1
,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,1079016,152734,541324,9.78,10.51,10.74,Import,2025,Qtr 3,September,1
,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",-,-,58588.49691,207850.704,-,-25.1,-24.88,Import,2025,Qtr 3,September,1
,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",-,-,22875.35577,81131.92188,-,12.32,12.63,Import,2025,Qtr 3,September,1
,PETROLEUM GROUP,, OTHERS,-,-,11.591404,41.10466854,-,286.38,242.54,Import,2025,Qtr 3,September,1
,TEXTILE GROUP,, RAW COTTON,MT,76452.81516,38731.08139,137364.8717,20.75,21.7,22.04,Import,2025,Qtr 3,September,1
,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,54728.04363,19502.61787,69164.61418,14.95,0.24,0.51,Import,2025,Qtr 3,September,1
,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,52481.57637,24451.08307,86717.21972,20.22,19.86,20.19,Import,2025,Qtr 3,September,1
,TEXTILE GROUP,, WORN CLOTHING,MT,108045.7933,14498.2921,51418.8696,14.97,17.76,18.08,Import,2025,Qtr 3,September,1
,TEXTILE GROUP,, OTHR TEXTILE ITEMS,-,-,71112.6735,252189.7039,-,21.34,21.67,Import,2025,Qtr 3,September,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, FERTILIZER MANUFACTURED,MT,132264.3849,29005.3182,102872.1363,56.09,78.22,78.71,Import,2025,Qtr 3,September,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, INSECTICIDES,MT,3091.854233,4066.4174,14422.1091,50.46,57.67,58.12,Import,2025,Qtr 3,September,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, PLASTIC MATERIALS,MT,205464.6709,66535.47868,235974.9768,1.46,-1.28,-1,Import,2025,Qtr 3,September,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, MEDICINAL PRODUCTS,MT,3847.112027,36337.1128,128862.2942,24.1,5.6,5.88,Import,2025,Qtr 3,September,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, OTHERS,-,-,124259.4012,440706.4308,-,1.98,2.27,Import,2025,Qtr 3,September,1
,METAL GROUP,, GOLD,KG,0,0,0,0,0,0,Import,2025,Qtr 3,September,1
,METAL GROUP,, IRON AND STEEL SCRAP,MT,359758.8653,50097.18592,177677.3253,36.1,14.9,15.22,Import,2025,Qtr 3,September,1
,METAL GROUP,, IRON AND STEEL,MT,365171.2456,61660.76396,218662.8666,6.27,-4.21,-3.96,Import,2025,Qtr 3,September,1
,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,-,-,7401.251786,26249.85586,-,56.91,57.34,Import,2025,Qtr 3,September,1
,METAL GROUP,, ALL OTHER METALS & ARTICALS,-,-,29955.4635,106230.7755,-,6.78,7.06,Import,2025,Qtr 3,September,1
,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL+ SYNTH/RECLAIMED,MT,47532,7874.488995,27931.19508,0.9,-5.85,-5.58,Import,2025,Qtr 3,September,1
,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,1290328,6328.550122,22444.20671,32.12,16.12,16.43,Import,2025,Qtr 3,September,1
,MISCELLANEOUS GROUP,, WOOD & CORK,-,-,3057.89747,10845.1074,-,31.3,31.65,Import,2025,Qtr 3,September,1
,MISCELLANEOUS GROUP,, JUTE,MT,1225.31075,295.121629,1046.728047,-43.61,-41.91,-41.75,Import,2025,Qtr 3,September,1
,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF+THEREOF,MT,44552.14976,11884.98056,42149.95986,13.54,9.89,10.2,Import,2025,Qtr 3,September,1
, FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,3167.249878,2800.080833,9944.28146,-12.36,-30.31,-30.21,Import,2025,Qtr 4,October,1
, FOOD GROUP,, WHEAT UNMILLED,MT,0,0,0,0,0,0,Import,2025,Qtr 4,October,1
, FOOD GROUP,, DRY FRUITS & NUTS,MT,20435.98612,5679.782645,20174.30973,5.38,10.74,10.9,Import,2025,Qtr 4,October,1
, FOOD GROUP,, TEA,MT,25576.95714,16989.91658,60344.43436,20.92,17.34,17.51,Import,2025,Qtr 4,October,1
, FOOD GROUP,, SPICES,MT,17440.97765,5727.289225,20344.10222,23.76,6.55,6.72,Import,2025,Qtr 4,October,1
, FOOD GROUP,, SOYABEAN OIL,MT,8755,2661.658933,9455.89604,-32.73,-31.96,-31.84,Import,2025,Qtr 4,October,1
, FOOD GROUP,, PALM OIL,MT,297009.674,91252.88769,324127.3851,-13.45,-10.31,-10.17,Import,2025,Qtr 4,October,1
, FOOD GROUP,, SUGAR,MT,200099.003,31624.42412,112330.5267,551.15,509.33,510.19,Import,2025,Qtr 4,October,1
, FOOD GROUP,, PULSES  (LEGUMINOUS VEGETABLES),MT,73878.83984,14399.4275,51145.02474,-23.47,-10.24,-10.11,Import,2025,Qtr 4,October,1
, FOOD GROUP,, ALL OTHERS FOOD ITEMS,-,,60539.96897,215021.2963,-,-6.32,-6.19,Import,2025,Qtr 4,October,1
,MACHINERY GROUP,, POWER GENERATING MACHINERY,-,-,26282.76666,93333.68146,-,57.23,57.46,Import,2025,Qtr 4,October,1
,MACHINERY GROUP,, OFFICE MACHINE INCL+DATA PROC EQUIP;,-,-,22139.94507,78632.69178,-,34.71,34.91,Import,2025,Qtr 4,October,1
,MACHINERY GROUP,, TEXTILE MACHINERY,-,-,12096.72965,42964.08448,-,-16.05,-15.92,Import,2025,Qtr 4,October,1
,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,-,-,10626.94144,37746.39014,-,119.79,119.98,Import,2025,Qtr 4,October,1
,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,-,-,69572.3254,247094.1281,-,-5.95,-5.81,Import,2025,Qtr 4,October,1
,MACHINERY GROUP, TELE COM, MOBILE PHONE,-,-,40709.99937,144592.6367,-,-27.52,-27.44,Import,2025,Qtr 4,October,1
,MACHINERY GROUP, TELE COM, OTHER APPARATUS,-,-,16658.39551,59164.00923,-,-15.64,-15.51,Import,2025,Qtr 4,October,1
,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,-,-,2814.47717,9996.80038,-,1.13,1.27,Import,2025,Qtr 4,October,1
,MACHINERY GROUP,, OTHER MACHINERY,-,-,57875.65561,205591.2998,-,13.92,13.97,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,,1 CBU,-,-,12535.92828,44514.92937,-,-67.66,-67.62,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,"CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",-,-,5965.178888,21182.6711,-,-80.03,-80,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CBU-MOTOR CARS,-,-,6501.826319,23087.49595,-,-26.34,-26.24,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CBU-MOTOR CYCLES,-,-,68.923069,244.76232,-,4.43,5.05,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,,2 CKD/SKD,-,-,62764.63333,222935.2604,-,5.01,5.17,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,"CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",-,-,12586.13743,44701.83641,-,-17.65,-17.53,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CKD/SKD-MOTOR CARS,-,-,48156.45746,171050.831,-,12.73,12.9,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CKD/SKD-MOTOR CYCLES,-,-,2022.038438,7182.59308,-,14.43,14.61,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,,3G PARTS & ACCESSORIES,-,-,10142.33477,36025.8609,-,-0.05,0.11,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,,4H OTHERS,-,-,663.547032,2355.58244,-,-7.97,-7.88,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",-,-,1617.771648,5748.21846,-,-86.85,-86.82,Import,2025,Qtr 4,October,1
,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,-,-,1414.930766,5025.35252,-,214.43,214.67,Import,2025,Qtr 4,October,1
,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,1056294.072,152860.4509,543021.7289,33.82,33.6,33.8,Import,2025,Qtr 4,October,1
,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,1055735.774,152956.5909,543189.4294,-2.16,0.15,0.34,Import,2025,Qtr 4,October,1
,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",-,,58820.2429,208967.2456,-,0.4,0.54,Import,2025,Qtr 4,October,1
,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",-,,22391.34611,79529.72467,-,-2.11,-1.97,Import,2025,Qtr 4,October,1
,PETROLEUM GROUP,, OTHERS,-,,4.727639,16.79995,-,-60.6,-59.02,Import,2025,Qtr 4,October,1
,TEXTILE GROUP,, RAW COTTON,MT,75784.83667,38406.60492,136422.134,-1.03,-0.84,-0.69,Import,2025,Qtr 4,October,1
,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,51822.06483,18575.34695,65978.35662,-5.31,-4.76,-4.61,Import,2025,Qtr 4,October,1
,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,65091.9322,28981.56127,102943.3696,24.21,18.53,18.71,Import,2025,Qtr 4,October,1
,TEXTILE GROUP,, WORN CLOTHING,MT,118583.055,16020.10139,56907.10119,9.74,10.5,10.67,Import,2025,Qtr 4,October,1
,TEXTILE GROUP,, OTHR TEXTILE ITEMS,-,,70624.63072,250848.1334,-,-0.69,-0.53,Import,2025,Qtr 4,October,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, FERTILIZER MANUFACTURED,MT,224070.2792,38221.92365,135747.3674,69.84,31.78,31.96,Import,2025,Qtr 4,October,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, INSECTICIDES,MT,4442.023583,6115.394601,21724.31636,66.74,50.4,50.63,Import,2025,Qtr 4,October,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, PLASTIC MATERIALS,MT,194789.8038,64130.53877,227789.1309,-5.29,-3.61,-3.47,Import,2025,Qtr 4,October,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, MEDICINAL PRODUCTS,MT,3445.144917,34558.20284,122759.4898,-21.15,-14.5,-14.36,Import,2025,Qtr 4,October,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, OTHERS,-,,134063.6169,476198.3791,-,11.56,11.72,Import,2025,Qtr 4,October,1
,METAL GROUP,, GOLD,KG,0,0,0,0,0,0,Import,2025,Qtr 4,October,1
,METAL GROUP,, IRON AND STEEL SCRAP,MT,381990.8284,54502.09823,193723.7718,4.2,8.79,9.03,Import,2025,Qtr 4,October,1
,METAL GROUP,, IRON AND STEEL,MT,422526.4213,69922.76195,248355.2725,15.31,13.4,13.58,Import,2025,Qtr 4,October,1
,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,-,,7328.576828,26032.96781,-,-0.98,-0.83,Import,2025,Qtr 4,October,1
,METAL GROUP,, ALL OTHER METALS & ARTICALS,-,,35895.30492,127496.9262,-,19.83,20.02,Import,2025,Qtr 4,October,1
,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL+ SYNTH/RECLAIMED,MT,61665.57121,9156.996377,32524.36031,-16.47,16.29,16.45,Import,2025,Qtr 4,October,1
,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,1192730,5315.714615,18880.20825,-7.66,-16.37,-16.24,Import,2025,Qtr 4,October,1
,MISCELLANEOUS GROUP,, WOOD & CORK,-,,3401.04213,12079.96115,-,11.22,11.39,Import,2025,Qtr 4,October,1
,MISCELLANEOUS GROUP,, JUTE,MT,915.8967,215.074367,763.71671,-25.42,-27.09,-27.06,Import,2025,Qtr 4,October,1
,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF+THEREOF,MT,52424.48064,12266.86939,43572.37759,17.58,3.21,3.37,Import,2025,Qtr 4,October,1
, FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,2905.466352,2584.547624,9193.51614,14.03,-7.69,-7.55,Import,2025,Qtr 4,November,1
, FOOD GROUP,, WHEAT UNMILLED,MT,0,0,0,0,0,0,Import,2025,Qtr 4,November,1
, FOOD GROUP,, DRY FRUITS & NUTS,MT,19839.6652,5697.726368,20266.8747,-3.5,0.31,0.46,Import,2025,Qtr 4,November,1
, FOOD GROUP,, TEA,MT,22255.05279,14829.21385,52746.71055,-10.75,-12.72,-12.59,Import,2025,Qtr 4,November,1
, FOOD GROUP,, SPICES,MT,19337.60627,6008.07581,21370.84425,11.6,4.91,5.05,Import,2025,Qtr 4,November,1
, FOOD GROUP,, SOYABEAN OIL,MT,2442,768.635351,2733.7973,-72.11,-71.13,-71.09,Import,2025,Qtr 4,November,1
, FOOD GROUP,, PALM OIL,MT,317698.5771,99136.87307,352639.1382,6.97,8.64,8.8,Import,2025,Qtr 4,November,1
, FOOD GROUP,, SUGAR,MT,76752.4648,12066.08348,42908.79608,-61.64,-61.85,-61.8,Import,2025,Qtr 4,November,1
, FOOD GROUP,, PULSES  (LEGUMINOUS VEGETABLES),MT,114177.778,18930.58206,67338.12487,53.68,31.47,31.66,Import,2025,Qtr 4,November,1
, FOOD GROUP,, ALL OTHERS FOOD ITEMS,-,,57002.92091,202792.9766,-,-5.84,-5.69,Import,2025,Qtr 4,November,1
,MACHINERY GROUP,, POWER GENERATING MACHINERY,-,,12700.21238,45173.72752,-,-51.68,-51.6,Import,2025,Qtr 4,November,1
,MACHINERY GROUP,, OFFICE MACHINE INCL+DATA PROC EQUIP;,-,,14999.63316,53384.27445,-,-32.24,-32.1,Import,2025,Qtr 4,November,1
,MACHINERY GROUP,, TEXTILE MACHINERY,-,,12279.80626,43680.40665,-,1.51,1.67,Import,2025,Qtr 4,November,1
,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,-,,4144.574436,14741.43678,-,-61,-60.95,Import,2025,Qtr 4,November,1
,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,-,,43145.49853,153459.5029,-,-37.89,-37.8,Import,2025,Qtr 4,November,1
,MACHINERY GROUP, TELE COM, MOBILE PHONE,-,,44015.67822,156564.7901,-,8.14,8.3,Import,2025,Qtr 4,November,1
,MACHINERY GROUP, TELE COM, OTHER APPARATUS,-,,16962.55841,60326.37003,-,2.33,2.46,Import,2025,Qtr 4,November,1
,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,-,,2436.08005,8664.81443,-,-13.43,-13.33,Import,2025,Qtr 4,November,1
,MACHINERY GROUP,, OTHER MACHINERY,-,,57144.72208,203295.0937,-,-1.61,-1.46,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,,1 CBU,-,,13138.66634,46723.82118,-,4.81,4.96,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,"CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",-,,5349.768511,19027.30252,-,-10.31,-10.18,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CBU-MOTOR CARS,-,,7752.616287,27567.49816,-,19.23,19.41,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CBU-MOTOR CYCLES,-,,36.281538,129.0205,-,-47.42,-47.34,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,,2 CKD/SKD,-,,60242.59879,214277.4086,-,-4.02,-3.88,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,"CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",-,,9319.7854,33147.31892,-,-25.95,-25.85,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CKD/SKD-MOTOR CARS,-,,49754.29037,176973.5185,-,3.32,3.46,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,  ROAD MOTOR VEH,CKD/SKD-MOTOR CYCLES,-,,1168.523017,4156.57116,-,-42.21,-42.13,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,,3G PARTS & ACCESSORIES,-,,9604.381424,34160.78411,-,-2.12,-1.99,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,,4H OTHERS,-,,1288.981907,4586.40536,-,94.12,94.67,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",-,,2189.47736,7788.58439,-,35.32,35.5,Import,2025,Qtr 4,November,1
,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,-,,1386.495076,4931.75667,-,299.57,300.63,Import,2025,Qtr 4,November,1
,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,1012293.68,152882.1199,543923.3055,-4.2,0.01,0.17,Import,2025,Qtr 4,November,1
,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,915228.2659,135618.5506,482249.7688,-13.31,-11.34,-11.22,Import,2025,Qtr 4,November,1
,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",-,,44214.50386,157298.212,-,-24.83,-24.73,Import,2025,Qtr 4,November,1
,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",-,,23315.866,82939.51713,-,4.13,4.29,Import,2025,Qtr 4,November,1
,PETROLEUM GROUP,, OTHERS,-,,2.859018,10.17536,-,-42.82,-40.14,Import,2025,Qtr 4,November,1
,TEXTILE GROUP,, RAW COTTON,MT,44364.95248,21538.57108,76606.8004,-41.5,-43.92,-43.85,Import,2025,Qtr 4,November,1
,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,48976.55335,16282.25367,57916.81856,-5.49,-12.34,-12.22,Import,2025,Qtr 4,November,1
,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,57170.8908,25570.9501,90955.62872,-12.2,-11.77,-11.64,Import,2025,Qtr 4,November,1
,TEXTILE GROUP,, WORN CLOTHING,MT,122684.1844,17550.84393,62424.88057,2.59,9.56,9.7,Import,2025,Qtr 4,November,1
,TEXTILE GROUP,, OTHR TEXTILE ITEMS,-,,63713.24857,226685.174,-,-9.79,-9.63,Import,2025,Qtr 4,November,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, FERTILIZER MANUFACTURED,MT,28169.38334,5245.967502,18664.26993,-87.43,-86.28,-86.25,Import,2025,Qtr 4,November,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, INSECTICIDES,MT,4028.946458,6016.637859,21399.12895,-8.25,-1.61,-1.5,Import,2025,Qtr 4,November,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, PLASTIC MATERIALS,MT,187191.7597,59562.22111,211860.7109,-4.51,-7.12,-6.99,Import,2025,Qtr 4,November,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, MEDICINAL PRODUCTS,MT,2922,25710.54121,91455.02694,-23.89,-32.16,-32.06,Import,2025,Qtr 4,November,1
,AGRICULTURAL AND OTHER CHEMICALS GROUP,, OTHERS,-,,119945.9443,426635.2448,-,-8.24,-8.12,Import,2025,Qtr 4,November,1
,METAL GROUP,, GOLD,KG,0,0,0,0,0,0,Import,2025,Qtr 4,November,1
,METAL GROUP,, IRON AND STEEL SCRAP,MT,335525.7958,47161.87932,167772.3659,-16.86,-13.47,-13.39,Import,2025,Qtr 4,November,1
,METAL GROUP,, IRON AND STEEL,MT,349127.5624,58349.49577,207592.3862,-17.56,-16.55,-16.41,Import,2025,Qtr 4,November,1
,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,-,,3978.901167,14152.66849,-,-45.71,-45.64,Import,2025,Qtr 4,November,1
,METAL GROUP,, ALL OTHER METALS & ARTICALS,-,,32583.90126,115894.2605,-,-9.22,-9.1,Import,2025,Qtr 4,November,1
,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL+ SYNTH/RECLAIMED,MT,31219.0314,6324.651754,22495.14992,-49.4,-30.93,-30.84,Import,2025,Qtr 4,November,1
,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,665775,3992.361075,14200.75271,-45.12,-24.9,-24.78,Import,2025,Qtr 4,November,1
